Dataset,Reads,Reads_wo_S,Richness,Richness_wo_S,Rarefied.richness,H,J,Rarefied J,Simpson,Chao1,ACE
DA01S,132866,132866,879,879,310.639520797235,2.36585865200361,0.34900925279566,0.412268669757255,0.743798988948354,971.076042961708,1007.05434782609
OSS04S,70084,70084,395,395,183.367251987732,2.32557819048417,0.388965148679778,0.446240470902023,0.791231913828773,459.042924252853,482
OSS11S,20908,20908,551,551,424.045844854358,4.25296028611718,0.673817962052173,0.702987050828624,0.958932912393007,615.028448204975,634.898305084746
OSS11A1S,23335,23335,244,244,169.02318515143,2.20232496221459,0.400628991501733,0.42930010763384,0.765065352474823,298.677863720074,313.51724137931
OSS21A1S,14858,14858,317,317,253.046932032491,3.08677596864635,0.536000801862632,0.557826718415652,0.875605310748003,390.327664234276,390.978260869565
OSS22A1S,15155,15155,440,440,363.97695546342,3.72313615585355,0.611676351252483,0.631351362202011,0.911664573301226,497.68731582774,501.741935483871
OSS11B1S,91170,91170,248,248,94.5761714993042,0.783911753916179,0.142182258991095,0.172310809405858,0.228588193105487,279.935402358279,277.878048780488
OSS21B1S,32483,32483,72,72,39.0521003710033,1.54099819951823,0.360326982895913,0.420475211671329,0.734014820588371,100.704810918848,90.4
OSS22B1S,6957,6957,205,205,205,2.28664521481975,0.429577480369456,0.429577480369456,0.738576560435137,315.140527770605,290.024390243902
OSS11D1S,14711,14711,589,589,475.015682109047,4.41628144890424,0.692377919215169,0.716539383949699,0.96810161875237,701.071956711855,681.676470588235
R319S,79799,79799,731,731,262.426303661897,2.54009190855727,0.385188451415914,0.456033295364704,0.816113752573601,885.962675544015,893.235294117647
OSC08R,56283,56283,920,920,407.364660003459,3.4773058010795,0.50954211612764,0.578614695477156,0.91570606523383,1099.69067694446,1111.97887323944
OSC08S,44681,44681,373,373,228.440751766337,3.19518769715918,0.539583785052934,0.588294017228783,0.912096328772617,408.00531976483,404.294117647059
